rec_id	drug	recommendation	variants	lookup_genes	component_count
7588425	streptomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588426	streptomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588427	tobramycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7590253	tramadol	Use tramadol label recommended age- or weight-specific dosing.	"[""CYP2D6 1.75""]"	CYP2D6	1
7588428	tobramycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588429	tobramycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588430	dibekacin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588431	dibekacin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588432	dibekacin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588433	neomycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588434	neomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588435	neomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588436	netilmicin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588437	netilmicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588453	dimercaprol	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588438	netilmicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588439	ribostamycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588440	ribostamycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588441	ribostamycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588442	aminosalicylic acid	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588443	aminosalicylic acid	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588444	aminosalicylic acid	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588445	aminosalicylic acid	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588446	aminosalicylic acid	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588447	ciprofloxacin	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588448	ciprofloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588449	ciprofloxacin	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588450	ciprofloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588451	ciprofloxacin	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588452	dimercaprol	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588472	mafenide	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588454	dimercaprol	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588455	dimercaprol	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588456	dimercaprol	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588457	doxorubicin	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588458	doxorubicin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588459	doxorubicin	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588460	doxorubicin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588461	doxorubicin	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588462	furazolidone	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588463	furazolidone	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588464	furazolidone	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588465	furazolidone	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588466	furazolidone	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588467	glyburide	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588468	glyburide	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588469	glyburide	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588470	glyburide	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588471	glyburide	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588473	mafenide	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588474	mafenide	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588475	mafenide	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588476	mafenide	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588477	nalidixic acid	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588478	nalidixic acid	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588479	nalidixic acid	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588480	nalidixic acid	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588481	nalidixic acid	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588482	norfloxacin	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588483	norfloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588484	norfloxacin	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7588485	norfloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588486	norfloxacin	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588487	ofloxacin	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7588488	ofloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Deficient""]"	G6PD	1
7588489	ofloxacin	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	"[""G6PD Deficient with CNSHA""]"	G6PD	1
7589112	codeine	Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.	"[""CYP2D6 2.5""]"	CYP2D6	1
7588490	ofloxacin	No reason to avoid based on G6PD status at standard doses	"[""G6PD Variable""]"	G6PD	1
7588491	ofloxacin	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	"[""G6PD Indeterminate""]"	G6PD	1
7588492	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.25"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588493	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588494	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588495	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 1.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588496	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.25"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588497	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589113	codeine	Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.	"[""CYP2D6 3.0""]"	CYP2D6	1
7588498	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588499	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.25"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588500	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588501	amitriptyline	Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588502	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588503	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588504	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588505	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588534	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588506	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588507	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588508	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588509	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588510	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588511	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588512	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588513	amitriptyline	No recommendation	"[""CYP2D6 n/a"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588514	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 No Result"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588515	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 0.25"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588516	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 0.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588517	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 0.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588518	amitriptyline	Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 1.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588519	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.25"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588520	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588521	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588522	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.25"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588523	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588535	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588524	amitriptyline	Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 0.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588525	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 2.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588526	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 3.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588527	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 2.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588528	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 4.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588529	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588530	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588531	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588532	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588533	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588536	amitriptyline	No recommendation	"[""CYP2D6 n/a"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588537	amitriptyline	Initiate therapy with recommended starting dose.	"[""CYP2D6 No Result"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588538	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.25"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588539	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.5"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588540	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.75"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588541	amitriptyline	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 1.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588617	amitriptyline	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 2.5"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7588542	amitriptyline	Avoid amitriptyline use. If amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 1.25"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
